Subject,Sentence,Label
biology," 5 . Science includes such diverse fields as astronomy , biology , computer sciences , geology , logic , physics , chemistry , and mathematics ( [ link ] ) .","0"
biology," However , those fields of science related to the physical world and its phenomena and processes are considered natural sciences .","1"
biology," Thus , a museum of natural sciences might contain any of the items listed above .","0"
biology," 8 . In deductive reason , the pattern of thinking moves in the opposite direction as compared to inductive reasoning .","0"
biology," Deductive reasoning is a form of logical thinking that uses a general principle or law to forecast specific results .","1"
biology," From those general principles , a scientist can extrapolate and predict the specific results that would be valid as long as the general principles are valid .","0"
biology," 11 . Each experiment will have one or more variables and one or more controls .","0"
biology," A variable is any part of the experiment that can vary or change during the experiment .","1"
biology," The control group contains every feature of the experimental group except it is not given the manipulation that is hypothesized about .","1"
biology," 14 . In contrast , applied science or “ technology , ” aims to use science to solve real - world problems , making it possible , for example , to improve a crop yield , find a cure for a particular disease , or save animals threatened by a natural disaster ( [ link ] ) .","1"
biology," In applied science , the problem is usually defined for the researcher .","0"
biology," 17 . This structure is sometimes called the “ IMRaD ” format .","0"
biology," There are usually acknowledgment and reference sections as well as an abstract ( a concise summary ) at the beginning of the paper . There might be additional sections depending on the type of paper and the journal where it will be published ; for example , some review papers require an outline .","1"
biology," 20 . The materials and methods section includes a complete and accurate description of the substances used , and the method and techniques used by the researchers to gather data .","0"
biology," The description should be thorough enough to allow another researcher to repeat the experiment and obtain similar results , but it does not have to be verbose .","0"
biology," 23 . Finally , the conclusion section summarizes the importance of the experimental findings .","1"
biology," While the scientific paper almost certainly answered one or more scientific questions that were stated , any good research should lead to more questions .","0"
biology," 29 . Some cells contain aggregates of macromolecules surrounded by membranes ; these are called organelles .","1"
biology," Organelles are small structures that exist within cells .","0"
biology," 32 . In larger organisms , cells combine to make tissues , which are groups of similar cells carrying out similar or related functions .","1"
biology," Organs are collections of tissues grouped together performing a common function .","1"
biology," 35 . For instance , the circulatory system transports blood through the body and to and from the lungs ; it includes organs such as the heart and blood vessels .","1"
biology," Organisms are individual living entities .","1"
biology," For example , each tree in a forest is an organism .","0"
biology," 41 . The evolution of various life forms on Earth can be summarized in a phylogenetic tree ( [ link ] ) .","0"
biology," A phylogenetic tree is a diagram showing the evolutionary relationships among biological species based on similarities and differences in genetic or physical traits or both .","1"
biology," A phylogenetic tree is composed of nodes and branches .","0"
biology," 44 . Another field of biological study , neurobiology , studies the biology of the nervous system , and although it is considered a branch of biology , it is also recognized as an interdisciplinary field of study known as neuroscience .","1"
biology," Because of its interdisciplinary nature , this subdiscipline studies different functions of the nervous system using molecular , cellular , developmental , medical , and computational approaches .","0"
biology," 50 . An atom is composed of two regions : the nucleus , which is in the center of the atom and contains protons and neutrons , and the outermost region of the atom which holds its electrons in orbit around the nucleus , as illustrated in [ link ] .","1"
biology," Atoms contain protons , electrons , and neutrons , among other subatomic particles .","0"
biology," 53 . Atoms of each element contain a characteristic number of protons and electrons .","0"
biology," The number of protons determines an element ’s atomic number and is used to distinguish one element from another .","1"
biology," The number of neutrons is variable , resulting in isotopes , which are different forms of the same atom that vary only in the number of neutrons they possess .","0"
biology," 56 . Isotopes","0"
biology," Isotopes are different forms of an element that have the same number of protons but a different number of neutrons .","1"
biology," Some elements — such as carbon , potassium , and uranium — have naturally occurring isotopes .","0"
biology," 59 . The properties of elements are responsible for their physical state at room temperature : they may be gases , solids , or liquids .","0"
biology," Elements also have specific chemical reactivity , the ability to combine and to chemically bond with each other .","1"
biology," 62 . The innermost shell has a maximum of two electrons but the next two electron shells can each have a maximum of eight electrons .","0"
biology," This is known as the octet rule , which states , with the exception of the innermost shell , that atoms are more stable energetically when they have eight electrons in their valence shell , the outermost electron shell .","1"
biology," Examples of some neutral atoms and their electron configurations are shown in [ link ] .","0"
biology," 68 . Chemical reactions occur when two or more atoms bond together to form molecules or when bonded atoms are broken apart .","1"
biology," The substances used in the beginning of a chemical reaction are called the reactants ( usually found on the left side of a chemical equation ) , and the substances found at the end of the reaction are known as the products ( usually found on the right side of a chemical equation ) .","0"
biology," 71 . Even though all of the reactants and products of this reaction are molecules ( each atom remains bonded to at least one other atom ) , in this reaction only hydrogen peroxide and water are representatives of compounds : they contain atoms of more than one type of element .","1"
biology," Molecular oxygen , on the other hand , as shown in [ link ] , consists of two doubly bonded oxygen atoms and is not classified as a compound but as a homonuclear molecule .","0"
biology," The oxygen atoms in an O2 molecule are joined by a double bond .","0"
biology," 74 . In reversible reactions , reactants are turned into products , but when the concentration of product goes beyond a certain threshold ( characteristic of the particular reaction ) , some of these products will be converted back into reactants ; at this point , the designations of products and reactants are reversed .","1"
biology," This back and forth continues until a certain relative balance between reactants and products occurs — a state called equilibrium .","1"
biology," These situations of reversible reactions are often denoted by a chemical equation with a double headed arrow pointing towards both the reactants and products .","0"
biology," 77 . Negative ions are formed by gaining electrons and are called anions .","1"
biology," Anions are designated by their elemental name being altered to end in “ -ide ” : the anion of chlorine is called chloride , and the anion of sulfur is called sulfide , for example .","0"
